,Acc_x,Acc_y,Acc_z,Label
577,-15,24,-12,Painting
578,-10,30,-7,Painting
579,-17,-32,20,Painting
580,58,-38,-5,Painting
581,-1,-26,4,Painting
582,-23,47,-9,Painting
583,-11,40,-11,Painting
584,-3,-43,14,Painting
585,60,-36,-7,Painting
586,-43,-12,9,Painting
587,-20,42,5,Painting
588,-22,35,-13,Painting
589,16,-47,5,Painting
590,57,-29,-11,Painting
591,-49,5,3,Painting
592,-37,35,0,Painting
593,-14,28,-3,Painting
594,20,-57,24,Painting
595,54,-25,-7,Painting
596,-30,-21,12,Painting
597,-4,33,-38,Painting
598,-15,21,-3,Painting
599,0,-23,11,Painting
600,46,-28,-3,Painting
601,30,-15,-2,Painting
602,-76,47,12,Painting
603,-23,36,1,Painting
604,-22,8,-4,Painting
605,47,-41,-7,Painting
606,41,-28,-4,Painting
607,-70,48,2,Painting
608,-19,37,-13,Painting
609,-27,10,-8,Painting
610,39,-39,6,Painting
611,46,-23,-7,Painting
612,-65,10,8,Painting
613,-19,37,0,Painting
614,-12,25,-16,Painting
615,18,-39,12,Painting
616,45,-26,-9,Painting
617,-18,-16,3,Painting
618,-9,50,1,Painting
619,-14,36,-14,Painting
620,19,-141,127,Painting
621,41,-27,-6,Painting
622,31,-30,2,Painting
623,-22,51,-23,Painting
624,-22,34,-2,Painting
625,-20,-3,1,Painting
626,37,-27,-6,Painting
627,37,-33,-3,Painting
628,-32,45,-11,Painting
629,-16,41,-7,Painting
630,-28,15,-4,Painting
631,26,-44,2,Painting
632,49,-21,-14,Painting
633,-52,3,-2,Painting
634,-23,39,13,Painting
635,-17,28,-5,Painting
636,19,-45,2,Painting
637,44,-19,-10,Painting
638,-43,-9,3,Painting
639,-8,38,-1,Painting
640,-11,26,-4,Painting
641,5,-39,10,Painting
642,42,-20,-11,Painting
643,-18,-22,17,Painting
644,0,41,-4,Painting
645,-8,29,-2,Painting
646,-17,-24,14,Painting
647,49,-33,-4,Painting
648,11,-33,1,Painting
649,7,44,3,Painting
650,-11,30,-3,Painting
651,-17,-11,6,Painting
652,32,-28,-2,Painting
653,40,-29,-2,Painting
654,-40,41,6,Painting
655,-28,43,0,Painting
656,-22,26,-8,Painting
657,22,-43,0,Painting
658,57,-26,-13,Painting
659,-62,9,-3,Painting
660,-29,45,-9,Painting
661,-10,24,-8,Painting
662,4,-36,4,Painting
663,66,-32,-11,Painting
664,-21,-24,15,Painting
665,-19,47,-5,Painting
666,-6,29,-11,Painting
667,-17,-40,13,Painting
668,63,-26,-22,Painting
669,-28,-23,10,Painting
670,-15,33,17,Painting
671,-15,32,-6,Painting
672,-15,-27,14,Painting
673,70,-38,-14,Painting
674,-15,-25,7,Painting
675,-14,41,3,Painting
676,-10,27,-14,Painting
677,-15,-15,12,Painting
