,Flex_1,Flex_2,Flex_3,Flex_4,Flex_5,Yaw,Pitch,Roll,Gesture
2412,-50.0,36.0,16.0,46.0,34.0,6.0,-15.837154,-58.595703,Thumbs Down
2413,10.0,8.0,8.0,8.0,14.0,44.0,41.236843,13.037460000000001,Come Here
2414,12.0,8.0,8.0,4.0,14.0,45.0,42.964607,13.414948,Come Here
2415,10.0,8.0,4.0,0.0,10.0,45.0,42.302101,13.579169,Come Here
2416,10.0,8.0,6.0,4.0,10.0,44.0,41.671448,14.282262,Come Here
2417,10.0,8.0,8.0,6.0,10.0,44.0,41.697193,14.213009,Come Here
2418,10.0,8.0,8.0,0.0,14.0,44.0,41.650311,13.654513,Come Here
2419,10.0,8.0,8.0,6.0,12.0,44.0,41.617477,13.610991,Come Here
2420,8.0,8.0,4.0,0.0,10.0,45.0,42.053276000000004,13.382887,Come Here
2421,8.0,8.0,6.0,4.0,10.0,45.0,41.972294,13.002,Come Here
2422,8.0,6.0,8.0,4.0,10.0,45.0,41.971443,12.78386,Come Here
2423,0.0,-20.0,-12.0,-26.0,-20.0,12.0,-60.323742,-7.591116,Go Away
2424,0.0,-16.0,-16.0,-24.0,-18.0,12.0,-59.982441,-8.064184,Go Away
2425,8.0,-16.0,-8.0,-24.0,-18.0,12.0,-59.654114,-9.65114,Go Away
2426,8.0,-16.0,-8.0,-24.0,-18.0,12.0,-58.767399,-11.194351,Go Away
2427,4.0,-16.0,-8.0,-24.0,-22.0,12.0,-58.58316800000001,-11.609832,Go Away
2428,6.0,-16.0,-10.0,-24.0,-22.0,13.0,-59.092678,-12.04918,Go Away
2429,8.0,-16.0,-8.0,-20.0,-22.0,13.0,-58.494965,-12.884884,Go Away
2430,8.0,-18.0,-12.0,-16.0,-18.0,13.0,-58.645424,-12.614738000000001,Go Away
2431,6.0,-16.0,-8.0,-18.0,-18.0,13.0,-58.00670600000001,-11.540505,Go Away
2432,8.0,-16.0,-8.0,-16.0,-18.0,13.0,-58.03714,-11.499916,Go Away
2433,104.0,20.0,36.0,56.0,42.0,9.0,20.392509,-11.141633,Fist
2434,104.0,24.0,36.0,56.0,42.0,9.0,19.935392,-11.196738999999999,Fist
2435,104.0,20.0,38.0,56.0,42.0,9.0,20.01833,-11.704678999999999,Fist
2436,104.0,24.0,38.0,56.0,46.0,9.0,19.874782999999997,-11.836507000000001,Fist
2437,104.0,20.0,32.0,54.0,42.0,9.0,20.210331,-13.052899,Fist
2438,104.0,26.0,38.0,52.0,42.0,9.0,20.117062,-13.304820999999999,Fist
2439,104.0,20.0,36.0,56.0,42.0,9.0,19.851945999999998,-13.301351,Fist
2440,104.0,22.0,36.0,56.0,42.0,9.0,19.061785,-12.972446000000001,Fist
2441,104.0,24.0,40.0,56.0,42.0,9.0,18.944004,-12.748663,Fist
2442,104.0,24.0,36.0,56.0,42.0,9.0,19.159882999999997,-13.109677,Fist
2443,52.0,-32.0,-54.0,48.0,42.0,10.0,19.502527,-24.572956,Finger Crossed
2444,48.0,-32.0,-54.0,46.0,42.0,10.0,18.623333,-24.345748999999998,Finger Crossed
2445,52.0,-32.0,-56.0,48.0,42.0,10.0,17.8631,-24.176744,Finger Crossed
2446,48.0,-34.0,-54.0,48.0,42.0,10.0,17.350618,-23.892548,Finger Crossed
2447,48.0,-36.0,-54.0,40.0,42.0,10.0,17.419701,-22.823364,Finger Crossed
2448,48.0,-32.0,-54.0,40.0,40.0,10.0,17.574854000000002,-22.654626999999998,Finger Crossed
2449,52.0,-34.0,-52.0,40.0,42.0,10.0,17.538382000000002,-22.391056,Finger Crossed
2450,54.0,-32.0,-52.0,46.0,42.0,10.0,18.133139,-21.264772,Finger Crossed
2451,56.0,-32.0,-52.0,48.0,42.0,10.0,18.341513,-21.128946,Finger Crossed
2452,48.0,-36.0,-54.0,40.0,42.0,10.0,18.129948000000002,-21.100168,Finger Crossed
2453,-2.0,12.0,32.0,56.0,34.0,61.0,-9.549941,79.585838,Cash
2454,0.0,8.0,32.0,56.0,34.0,60.0,-11.391703999999999,77.008263,Cash
2455,0.0,8.0,36.0,56.0,34.0,60.0,-11.003453,77.867867,Cash
2456,-2.0,8.0,32.0,56.0,34.0,58.0,-12.98953,73.51361800000001,Cash
2457,0.0,8.0,36.0,56.0,34.0,58.0,-11.666816,74.993645,Cash
2458,-2.0,8.0,32.0,56.0,34.0,59.0,-11.050493,75.472672,Cash
2459,0.0,8.0,32.0,56.0,34.0,59.0,-10.186192,76.166924,Cash
2460,4.0,8.0,34.0,56.0,34.0,59.0,-10.449387,75.627312,Cash
2461,0.0,8.0,36.0,56.0,34.0,58.0,-10.476894999999999,75.060547,Cash
2462,6.0,12.0,40.0,58.0,34.0,58.0,-10.489550999999999,74.986153,Cash
2463,20.0,-64.0,40.0,58.0,42.0,42.0,45.912116999999995,19.660089000000003,One
2464,22.0,-64.0,40.0,60.0,34.0,42.0,44.421471000000004,20.463997,One
2465,24.0,-58.0,40.0,58.0,42.0,42.0,43.933029,20.131905,One
2466,22.0,-60.0,40.0,56.0,42.0,42.0,43.80024,21.321718,One
2467,22.0,-56.0,38.0,56.0,34.0,41.0,43.243034,22.394454999999997,One
2468,22.0,-56.0,40.0,58.0,42.0,41.0,42.971878000000004,22.709091,One
2469,20.0,-56.0,40.0,58.0,34.0,41.0,43.143726,23.105694,One
2470,24.0,-52.0,40.0,60.0,42.0,41.0,42.980106,22.958361,One
2471,20.0,-56.0,40.0,56.0,40.0,41.0,43.701591,22.850782000000002,One
2472,20.0,-52.0,40.0,60.0,34.0,41.0,43.87273,23.104603,One
2473,32.0,-80.0,-116.0,32.0,22.0,39.0,50.101971,26.608788,Two
2474,38.0,-80.0,-112.0,32.0,20.0,39.0,50.54319,26.083647,Two
2475,40.0,-76.0,-112.0,32.0,26.0,39.0,50.059189,26.918501000000003,Two
2476,38.0,-72.0,-104.0,32.0,22.0,39.0,49.905426,27.330311,Two
2477,38.0,-72.0,-104.0,36.0,22.0,39.0,50.057289000000004,26.445671,Two
2478,36.0,-72.0,-100.0,36.0,22.0,39.0,49.927895,25.558411,Two
2479,36.0,-72.0,-104.0,36.0,26.0,39.0,49.570187,25.186047,Two
2480,38.0,-72.0,-92.0,32.0,22.0,40.0,49.4044,24.846088,Two
2481,36.0,-72.0,-92.0,36.0,22.0,40.0,49.019432,25.863945,Two
